CustomerID,CustomerName,City
28921,Corey Deng,London
28399,Dale Deng,London
15926,Donna Deng,Berlin
22813,Jerry Deng,London
25631,Julie Deng,London
21550,Kara Deng,Berlin
17738,Nicolas Deng,Berlin
21111,Ricardo Deng,London
28427,Yolanda Deng,London
14174,Alberto Diaz,Berlin
28375,Kathleen Diaz,London
25719,Kristine Diaz,Berlin
18181,Neil Diaz,London
12481,Victor Diaz,Berlin
22653,Carolyn Dominguez,London
23779,Deanna Dominguez,London
21857,Jay Dominguez,London
17087,Jésus Dominguez,London
17094,Julio Dominguez,London
20051,Linda Dominguez,Berlin
25658,Ricky Dominguez,Berlin
16573,Ruben Dominguez,London
13601,Tanya Dominguez,Berlin
21026,Clifford Fernandez,London
24554,Deanna Fernandez,London
24097,Francisco Fernandez,Berlin
29359,Harold Fernandez,London
19448,Meagan Fernandez,London
24064,Stanley Fernandez,London
25762,Stefanie Fernandez,Berlin
29355,Virginia Fernandez,Berlin
20898,Grant Ferrier,Berlin
15065,Alejandro Gao,Berlin
15108,Colleen Gao,London
27828,Ernest Gao,London
18153,Karen Gao,Berlin
16531,Lacey Gao,London
12560,Mandy Gao,London
16401,Margaret Gao,London
25782,Marshall Gao,London
13582,Martha Gao,London
19186,Bob Garcia,London
14172,Carla Garcia,London
22807,Cindy Garcia,London
14163,Ebony Garcia,Berlin
25701,Francisco Garcia,London
19070,Kristopher Garcia,London
11424,Pamela Garcia,Berlin
27778,Tabitha Garcia,London
23629,Alfredo Gill,London
11408,Darren Gill,London
26993,Julio Gill,London
17821,Marvin Gill,London
28524,Paula Gill,London
22599,Philip Gill,London
17217,Raquel Gill,Berlin
27161,Reginald Gill,Berlin
14996,Ross Gill,Berlin
24117,Shannon Gill,Berlin
14549,Arturo Goel,Berlin
17189,Clarence Goel,Berlin
11239,Latoya Goel,London
12833,Sheena Goel,Berlin
24839,Tamara Goldberg,Berlin
12512,Carolyn Gomez,Berlin
17743,Gerald Gomez,London
26911,Kristi Gomez,London
18627,Kristine Gomez,London
13693,Dominic Gonzalez,London
20174,Douglas Gonzalez,Berlin
11603,Geoffrey Gonzalez,London
28500,Jermaine Gonzalez,Berlin
14156,Preston Gonzalez,London
22468,Ruben Gonzalez,London
28709,Stefanie Gonzalez,London
23228,Candice Guo,Berlin
13539,Roger Guo,London
28370,Eddie Gutierrez,London
16437,Jésus Gutierrez,London
16271,Michele Gutierrez,Berlin
20835,Ruben Gutierrez,Berlin
17101,Shannon Gutierrez,London
25141,Walter Gutierrez,London
23601,Kari Alan,Berlin
17645,Albert Alonso,London
17777,Armando Alvarez,Berlin
22819,Daisy Alvarez,London
13820,Danny Alvarez,London
12303,Kristi Alvarez,London
16190,Lance Alvarez,London
20947,Marie Alvarez,London
18022,Victor Alvarez,Berlin
28899,Alejandro Anand,London
28400,Cedric Anand,Berlin
22686,Wayne Anand,London
19029,Alicia Andersen,Berlin
20973,April Andersen,London
27945,Christine Andersen,London
16473,Dawn Andersen,Berlin
21865,Kathryn Andersen,London
19032,Katrina Andersen,London
11570,Kristin Andersen,Berlin
17772,Leonard Andersen,London
12653,Nichole Andersen,London
27314,Jarrod Arthur,Berlin
14776,Ronald Arthur,London
24859,Cesar Arun,London
27842,Evelyn Arun,London
23976,Rachael Arun,London
28706,Reginald Ashe,Berlin
28889,Alison Beck,Berlin
16311,Carl Beck,London
17092,Devon Beck,Berlin
24193,Louis Becker,London
14820,Drew Bhat,London
19499,Shawn Black,London
17626,Alfredo Blanco,London
14195,Clinton Blanco,London
20551,Daisy Blanco,London
28918,Gina Blanco,London
23608,Jessie Blanco,London
12595,Mathew Blanco,London
19934,Neil Blanco,Berlin
12538,Paula Blanco,Berlin
26824,Theresa Blanco,London
22609,Clarence Cai,Berlin
14537,Clayton Cai,Berlin
28563,Dennis Cai,Berlin
12733,Lacey Cai,London
16599,Ramón Cai,London
22618,Rosa Cai,London
20575,Stacey Cai,London
22305,Anne Carlson,London
28436,Derrick Carlson,London
15632,Gloria Carlson,London
18044,Kendra Carlson,London
24694,Theodore Carlson,Berlin
21093,Jacquelyn Castro,London
21661,Terry Champion,Berlin
17111,Jenny Chande,Berlin
19263,Nina Chande,London
29358,Priscilla Chande,London
28693,Tamara Chande,London
21548,Christy Chander,London
26949,Lindsey Chander,London
16530,Priscilla Chander,London
15073,Tasha Chander,Berlin
25775,Marie Chandra,London
22597,Rachael Chandra,Berlin
15057,Regina Chandra,London
22837,Sergio Chandra,London
15712,Whitney Chandra,London
21134,Bob Chapman,London
26863,Alvin Chen,London
22610,Brent Chen,Berlin
12382,Tamara Chen,London
19911,Valerie Chen,London
12210,Alan He,London
12470,Barbara He,Berlin
18127,Franklin He,London
24100,Jenny He,London
14429,Lacey He,London
17849,Wesley He,London
22668,Adrienne Hernandez,London
24054,Gerald Hernandez,London
