16,David Bradley,8
263,Jean Trenary,7
3,Roberto Tamburello,7
26,Peter Krebs,22
235,Paula Barreto de Mattos,5
241,David Liu,7
274,Stephen Jiang,10
27,Jo Brown,12
40,JoLynn Dobney,6
47,Andrew Hill,7
55,Taylor Maxwell,6
62,John Campbell,8
71,Michael Ray,6
78,Reuben D'sa,8
87,Cristian Petculescu,5
93,Kok-Ho Loh,8
102,Zheng Mu,5
108,Jinghao Liu,12
121,Pilar Ackerman,5
127,David Hamilton,6
134,Eric Gubbels,10
145,Cynthia Randall,6
152,Yuhong Li,7
160,Jeff Hay,5
166,Jack Richins,13
180,Katie McAskill-White,5
186,Shane Kim,5
192,Brenda Diaz,12
205,Lori Kane,5
250,Sheela Word,11
